照片,时间/s,σx/MPa,σy/MPa,等效应力/MPa
000209.jpg,20.907900,53.28045345,53.26829039,53.27437296
000210.jpg,21.007900,53.33258085,53.30304199,53.31781755
000211.jpg,21.108000,53.36733244,53.35516938,53.36125195
000212.jpg,21.208000,53.43683564,53.40729678,53.42207233
000213.jpg,21.308000,53.47158723,53.45942417,53.46550674
000214.jpg,21.408000,53.52371463,53.49417577,53.50895132
000215.jpg,21.508000,53.52371463,53.54630317,53.53501247
000216.jpg,21.608000,53.59321782,53.59843056,53.59582438
000217.jpg,21.708000,53.62796942,53.65055796,53.63926726
000218.jpg,21.808100,53.69747261,53.68530955,53.69139212
000219.jpg,21.908100,53.73222421,53.72006115,53.72614371
000220.jpg,22.008100,53.78435161,53.75481275,53.76958826
000221.jpg,22.108100,53.81910320,53.82431594,53.82170976
000222.jpg,22.208100,53.87123060,53.89381914,53.88252842
000223.jpg,22.308100,53.94073379,53.91119494,53.92597043
000224.jpg,22.408100,53.95321500,53.94594653,53.94958113
000225.jpg,22.508200,53.97548539,53.99807393,53.98678320
000226.jpg,22.608200,54.02761278,54.05020132,54.03891059
000227.jpg,22.708200,54.07974018,54.08495292,54.08234674
000228.jpg,22.808200,54.11449178,54.13708032,54.12578958
000229.jpg,22.908200,54.16661917,54.18920771,54.17791697
000230.jpg,23.008200,54.21874657,54.20658351,54.21266606
000231.jpg,23.108200,54.25349817,54.25871090,54.25610472
000232.jpg,23.208300,54.30562556,54.27608670,54.29086216
000233.jpg,23.308300,54.34037716,54.34558990,54.34298371
000234.jpg,23.408300,54.39250455,54.39771729,54.39511111
000235.jpg,23.508300,54.43949264,54.41509309,54.42729697
000236.jpg,23.608300,54.46200775,54.44984469,54.45592724
000237.jpg,23.708300,54.49675934,54.50197208,54.49936590
000238.jpg,23.808300,54.54888674,54.53672368,54.54280623
000239.jpg,23.908400,54.58363834,54.58885108,54.58624489
000240.jpg,24.008400,54.60101414,54.58885108,54.59493362
000241.jpg,24.108400,54.65314153,54.65835427,54.65574809
000242.jpg,24.208400,54.70526893,54.67573007,54.69050548
000243.jpg,24.308400,54.75739632,54.72785746,54.74263287
000244.jpg,24.408400,54.77477212,54.76260906,54.76869160
000245.jpg,24.508400,54.80952372,54.81473646,54.81213027
000246.jpg,24.608500,54.86165111,54.81473646,54.83820884
000247.jpg,24.708500,54.93115431,54.84948805,54.89036674
000248.jpg,24.808500,54.93115431,54.88423965,54.90771201
000249.jpg,24.908500,54.96590590,54.91899125,54.94246360
000250.jpg,25.008500,55.00065750,54.97111864,54.98589402
000251.jpg,25.108500,55.03540910,54.98849444,55.01196677
000252.jpg,25.208500,55.07016069,55.00587024,55.03804363
000253.jpg,25.308500,55.12228809,55.04062184,55.08150037
000254.jpg,25.408600,55.13966389,55.09274923,55.11622154
000255.jpg,25.508600,55.19179128,55.11012503,55.15100351
000256.jpg,25.608600,55.22654288,55.11012503,55.16842608
000257.jpg,25.708600,55.26129448,55.15540000,55.20842341
000258.jpg,25.808600,55.29604607,55.19700402,55.24659163
000259.jpg,25.908600,55.33079767,55.23175562,55.28134319
000260.jpg,26.008600,55.36554927,55.23175562,55.29877384
000261.jpg,26.108700,55.36554927,55.26650722,55.31609474
000262.jpg,26.208700,55.41767666,55.30125881,55.35955955
000263.jpg,26.308700,55.41767666,55.31863461,55.36822208
000264.jpg,26.408700,55.45242826,55.35338621,55.40297363
000265.jpg,26.508700,55.48717986,55.35338621,55.42040416
000266.jpg,26.608700,55.48717986,55.38813781,55.43772519
000267.jpg,26.708700,55.53930725,55.42288940,55.48118993
000268.jpg,26.808800,55.58727426,55.45764100,55.52257113
000269.jpg,26.908800,55.60881045,55.45764100,55.53338004
000270.jpg,27.008800,55.60881045,55.47501680,55.54203448
000271.jpg,27.108800,55.64356204,55.49239260,55.56813154
000272.jpg,27.208800,55.67831364,55.52714419,55.60288304
000273.jpg,27.308800,55.67831364,55.54451999,55.61153753
000274.jpg,27.408800,55.69568944,55.57927159,55.63757186
000275.jpg,27.508900,55.69568944,55.59664739,55.64623452
000276.jpg,27.608900,55.73044104,55.63139899,55.68098607
000277.jpg,27.708900,55.76519263,55.63139899,55.69841633
000278.jpg,27.808900,55.79994423,55.63139899,55.71586281
000279.jpg,27.908900,55.81732003,55.68205799,55.74981207
000280.jpg,28.008900,55.85207163,55.70090218,55.77664054
000281.jpg,28.108900,55.86944742,55.68352638,55.77671930
000282.jpg,28.209000,55.86944742,55.70090218,55.78536576
000283.jpg,28.309000,55.85207163,55.73565378,55.79395379
000284.jpg,28.409000,55.88682322,55.71827798,55.80274150
