照片,时间/s,X向力/N,Y向力/N,DIC导出文件,DIC数据来源,合并文件,点数,DAT原始点数,排除无效点数,状态
000028.jpg,0.5635,559.150000,0.000000,_matchid_export\S20_X_2\000028.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S20_X_2\merged\000028_DIC全场—力.csv,7930,7932,2,READY
000029.jpg,0.5835,581.650000,0.000000,_matchid_export\S20_X_2\000029.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S20_X_2\merged\000029_DIC全场—力.csv,7933,7935,2,READY
000030.jpg,0.6034,604.150000,0.000000,_matchid_export\S20_X_2\000030.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S20_X_2\merged\000030_DIC全场—力.csv,7931,7933,2,READY
000031.jpg,0.6233,625.650000,0.000000,_matchid_export\S20_X_2\000031.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S20_X_2\merged\000031_DIC全场—力.csv,7932,7934,2,READY
000032.jpg,0.6433,647.150000,0.000000,_matchid_export\S20_X_2\000032.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S20_X_2\merged\000032_DIC全场—力.csv,7931,7933,2,READY
000033.jpg,0.6632,657.650000,0.000000,_matchid_export\S20_X_2\000033.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S20_X_2\merged\000033_DIC全场—力.csv,7932,7934,2,READY
000034.jpg,0.6831,679.650000,0.000000,_matchid_export\S20_X_2\000034.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S20_X_2\merged\000034_DIC全场—力.csv,7932,7934,2,READY
000035.jpg,0.7031,701.150000,0.000000,_matchid_export\S20_X_2\000035.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S20_X_2\merged\000035_DIC全场—力.csv,7933,7935,2,READY
000036.jpg,0.7230,721.650000,0.000000,_matchid_export\S20_X_2\000036.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S20_X_2\merged\000036_DIC全场—力.csv,7932,7934,2,READY
000037.jpg,0.7429,742.150000,0.000000,_matchid_export\S20_X_2\000037.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S20_X_2\merged\000037_DIC全场—力.csv,7932,7934,2,READY
000038.jpg,0.7629,752.150000,0.000000,_matchid_export\S20_X_2\000038.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S20_X_2\merged\000038_DIC全场—力.csv,7929,7931,2,READY
000039.jpg,0.7828,773.650000,0.000000,_matchid_export\S20_X_2\000039.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S20_X_2\merged\000039_DIC全场—力.csv,7932,7934,2,READY
000040.jpg,0.8027,793.650000,0.000000,_matchid_export\S20_X_2\000040.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S20_X_2\merged\000040_DIC全场—力.csv,7933,7935,2,READY
000041.jpg,0.8227,813.650000,0.000000,_matchid_export\S20_X_2\000041.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S20_X_2\merged\000041_DIC全场—力.csv,7929,7931,2,READY
000042.jpg,0.8426,833.650000,0.000000,_matchid_export\S20_X_2\000042.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S20_X_2\merged\000042_DIC全场—力.csv,7932,7934,2,READY
000043.jpg,0.8625,848.408065,0.000000,_matchid_export\S20_X_2\000043.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S20_X_2\merged\000043_DIC全场—力.csv,7930,7932,2,READY
000044.jpg,0.8825,862.150000,0.000000,_matchid_export\S20_X_2\000044.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S20_X_2\merged\000044_DIC全场—力.csv,7932,7934,2,READY
000045.jpg,0.9024,881.650000,0.000000,_matchid_export\S20_X_2\000045.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S20_X_2\merged\000045_DIC全场—力.csv,7932,7934,2,READY
000046.jpg,0.9224,901.150000,0.000000,_matchid_export\S20_X_2\000046.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S20_X_2\merged\000046_DIC全场—力.csv,7931,7933,2,READY
000047.jpg,0.9423,919.650000,0.000000,_matchid_export\S20_X_2\000047.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S20_X_2\merged\000047_DIC全场—力.csv,7931,7933,2,READY
000048.jpg,0.9622,938.150000,0.000000,_matchid_export\S20_X_2\000048.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S20_X_2\merged\000048_DIC全场—力.csv,7933,7935,2,READY
000049.jpg,0.9822,947.150000,0.000000,_matchid_export\S20_X_2\000049.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S20_X_2\merged\000049_DIC全场—力.csv,7928,7930,2,READY
000050.jpg,1.0021,965.650000,0.000000,_matchid_export\S20_X_2\000050.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S20_X_2\merged\000050_DIC全场—力.csv,7932,7934,2,READY
000051.jpg,1.0220,984.150000,0.000000,_matchid_export\S20_X_2\000051.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S20_X_2\merged\000051_DIC全场—力.csv,7926,7928,2,READY
000052.jpg,1.0420,1002.150000,0.000000,_matchid_export\S20_X_2\000052.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S20_X_2\merged\000052_DIC全场—力.csv,7928,7930,2,READY
000053.jpg,1.0619,1019.650000,0.000000,_matchid_export\S20_X_2\000053.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S20_X_2\merged\000053_DIC全场—力.csv,7928,7930,2,READY
000054.jpg,1.0818,1028.150000,0.000000,_matchid_export\S20_X_2\000054.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S20_X_2\merged\000054_DIC全场—力.csv,7930,7932,2,READY
000055.jpg,1.1018,1046.150000,0.000000,_matchid_export\S20_X_2\000055.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S20_X_2\merged\000055_DIC全场—力.csv,7925,7927,2,READY
000056.jpg,1.1217,1063.650000,0.000000,_matchid_export\S20_X_2\000056.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S20_X_2\merged\000056_DIC全场—力.csv,7930,7932,2,READY
000057.jpg,1.1416,1080.150000,0.000000,_matchid_export\S20_X_2\000057.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S20_X_2\merged\000057_DIC全场—力.csv,7927,7929,2,READY
000058.jpg,1.1616,1096.650000,0.000000,_matchid_export\S20_X_2\000058.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S20_X_2\merged\000058_DIC全场—力.csv,7930,7932,2,READY
000059.jpg,1.1815,1108.795161,0.000000,_matchid_export\S20_X_2\000059.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S20_X_2\merged\000059_DIC全场—力.csv,7929,7931,2,READY
000060.jpg,1.2015,1121.650000,0.000000,_matchid_export\S20_X_2\000060.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S20_X_2\merged\000060_DIC全场—力.csv,7931,7933,2,READY
000061.jpg,1.2214,1137.650000,0.000000,_matchid_export\S20_X_2\000061.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S20_X_2\merged\000061_DIC全场—力.csv,7928,7930,2,READY
000062.jpg,1.2413,1153.650000,0.000000,_matchid_export\S20_X_2\000062.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S20_X_2\merged\000062_DIC全场—力.csv,7932,7934,2,READY
000063.jpg,1.2613,1170.150000,0.000000,_matchid_export\S20_X_2\000063.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S20_X_2\merged\000063_DIC全场—力.csv,7929,7931,2,READY
000064.jpg,1.2812,1184.150000,0.000000,_matchid_export\S20_X_2\000064.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S20_X_2\merged\000064_DIC全场—力.csv,7925,7927,2,READY
000065.jpg,1.3011,1089.150000,0.000000,_matchid_export\S20_X_2\000065.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S20_X_2\merged\000065_DIC全场—力.csv,7926,7928,2,READY
000066.jpg,1.3211,624.650000,0.000000,_matchid_export\S20_X_2\000066.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S20_X_2\merged\000066_DIC全场—力.csv,7926,7928,2,READY
000067.jpg,1.3410,135.650000,0.000000,_matchid_export\S20_X_2\000067.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S20_X_2\merged\000067_DIC全场—力.csv,7928,7930,2,READY
