样本末帧,E/MPa,虚功均方根残差/N,样本点数,Y/MPa,H/MPa,拟合均方根残差/MPa
000232.jpg,,,185,44.231107555478474,164.35282760893006,6.39284742667292
000233.jpg,,,186,44.26413367350435,163.1122647521201,6.386708381767455
000234.jpg,,,187,44.29673675109259,161.8981345770484,6.38051238789132
000235.jpg,,,188,44.3289592156857,160.70939141241033,6.374246060644689
000236.jpg,,,189,44.36093282380194,159.54079548955605,6.367993870508418
000237.jpg,,,190,44.39260211954836,158.39475716866497,6.361686353940326
000238.jpg,,,191,44.42403514985388,157.2677068690339,6.3553963069695705
000239.jpg,,,192,44.4553862272927,156.15445626258878,6.349198000281891
000240.jpg,,,193,44.48644356396301,155.0619739761765,6.342959452196514
000241.jpg,,,194,44.51762340358183,153.97696048473648,6.336888688046532
000242.jpg,,,195,44.5487139674379,152.90506373526745,6.330908770214586
000243.jpg,,,196,44.57955094489961,151.85157252792263,6.324913365577828
000244.jpg,,,197,44.6102001533664,150.81421008052075,6.3189328578910064
000245.jpg,,,198,44.64052598009008,149.79621485935803,6.312921045723407
000246.jpg,,,199,44.67101092414339,148.78370007929638,6.307085592923546
000247.jpg,,,200,44.701348824615216,147.78519536809023,6.301288048267444
000248.jpg,,,201,44.73133260935835,146.80642192840924,6.295426284274416
000249.jpg,,,202,44.76115289198856,145.84175886331346,6.289584925936661
000250.jpg,,,203,44.79103147625336,144.88362410007383,6.283918643274995
000251.jpg,,,204,44.82076426936962,143.93890864821006,6.278268432833912
000252.jpg,,,205,44.85032629914899,143.00734630936222,6.272654913264308
000253.jpg,,,206,44.879983910386414,142.08189333690524,6.267182683923986
000254.jpg,,,207,44.90961867460241,141.16553409961426,6.261800185462258
000255.jpg,,,208,44.93914370766896,140.26027568114452,6.2564731635346815
000256.jpg,,,209,44.9684083422276,139.3700365029159,6.251124178475653
