照片,DAT,时间/s,X向力/N,Y向力/N,JPG原始路径,DAT原始路径
000042.jpg,000042.jpg.dat,4.2253,424.100000,0.000000,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S19_X_0.2\000042.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S19_X_0.2\000042.jpg.dat
000043.jpg,000043.jpg.dat,4.3267,434.100000,0.000000,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S19_X_0.2\000043.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S19_X_0.2\000043.jpg.dat
000044.jpg,000044.jpg.dat,4.4281,444.100000,0.000000,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S19_X_0.2\000044.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S19_X_0.2\000044.jpg.dat
000045.jpg,000045.jpg.dat,4.5295,453.600000,0.000000,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S19_X_0.2\000045.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S19_X_0.2\000045.jpg.dat
000046.jpg,000046.jpg.dat,4.6310,462.600000,0.000000,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S19_X_0.2\000046.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S19_X_0.2\000046.jpg.dat
000047.jpg,000047.jpg.dat,4.7324,473.600000,0.000000,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S19_X_0.2\000047.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S19_X_0.2\000047.jpg.dat
000048.jpg,000048.jpg.dat,4.8338,483.600000,0.000000,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S19_X_0.2\000048.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S19_X_0.2\000048.jpg.dat
000049.jpg,000049.jpg.dat,4.9352,493.100000,0.000000,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S19_X_0.2\000049.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S19_X_0.2\000049.jpg.dat
000050.jpg,000050.jpg.dat,5.0366,503.100000,0.000000,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S19_X_0.2\000050.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S19_X_0.2\000050.jpg.dat
000051.jpg,000051.jpg.dat,5.1380,512.604000,0.000000,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S19_X_0.2\000051.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S19_X_0.2\000051.jpg.dat
