frame_index,photo,time_role,photo_time_s,Boundary0_X2_N,Boundary1_Y2_N,Boundary2_Y1_N,Boundary3_X1_N
139,000139.jpg,synchronized,13.906943661972,1451.000000,1443.960000,1452.700000,1436.247324
140,000140.jpg,synchronized,14.006957746479,1452.000000,1446.960000,1454.700000,1437.360000
141,000141.jpg,synchronized,14.106971830986,1453.000000,1446.960000,1455.700000,1439.360000
142,000142.jpg,synchronized,14.206985915493,1454.000000,1448.960000,1457.700000,1441.360000
143,000143.jpg,synchronized,14.307000000000,1456.000000,1449.960000,1458.700000,1443.360000
144,000144.jpg,synchronized,14.407014084507,1457.000000,1449.960000,1458.700000,1443.360000
145,000145.jpg,synchronized,14.507028169014,1458.000000,1451.960000,1460.700000,1444.360000
146,000146.jpg,synchronized,14.607042253521,1459.000000,1452.960000,1461.700000,1445.360000
147,000147.jpg,synchronized,14.707056338028,1461.000000,1453.960000,1462.700000,1447.360000
148,000148.jpg,synchronized,14.807070422535,1462.000000,1454.960000,1463.700000,1447.360000
149,000149.jpg,synchronized,14.907084507042,1463.000000,1455.960000,1463.700000,1448.275493
150,000150.jpg,synchronized,15.007098591549,1463.000000,1456.960000,1464.700000,1448.360000
151,000151.jpg,synchronized,15.107112676056,1465.000000,1457.960000,1465.700000,1450.360000
152,000152.jpg,synchronized,15.207126760563,1466.000000,1458.960000,1466.700000,1452.360000
153,000153.jpg,synchronized,15.307140845070,1466.000000,1458.960000,1467.700000,1453.360000
154,000154.jpg,synchronized,15.407154929577,1467.000000,1459.960000,1468.700000,1454.360000
155,000155.jpg,synchronized,15.507169014085,1468.000000,1460.960000,1468.700000,1455.360000
156,000156.jpg,synchronized,15.607183098592,1469.000000,1460.960000,1469.700000,1456.360000
157,000157.jpg,synchronized,15.707197183099,1470.000000,1461.960000,1470.700000,1456.360000
158,000158.jpg,synchronized,15.807211267606,1471.000000,1462.960000,1470.700000,1457.360000
159,000159.jpg,synchronized,15.907225352113,1472.000000,1463.960000,1471.700000,1457.360000
160,000160.jpg,synchronized,16.007239436620,1473.000000,1464.199437,1472.700000,1458.120563
161,000161.jpg,synchronized,16.107253521127,1474.000000,1465.960000,1472.700000,1458.360000
162,000162.jpg,synchronized,16.207267605634,1474.000000,1465.960000,1474.700000,1459.360000
163,000163.jpg,synchronized,16.307281690141,1476.000000,1466.960000,1475.700000,1461.360000
164,000164.jpg,synchronized,16.407295774648,1477.000000,1467.960000,1476.700000,1463.360000
165,000165.jpg,synchronized,16.507309859155,1478.000000,1468.960000,1477.700000,1464.360000
166,000166.jpg,synchronized,16.607323943662,1479.000000,1469.960000,1478.700000,1465.360000
167,000167.jpg,synchronized,16.707338028169,1480.000000,1471.960000,1479.700000,1466.360000
168,000168.jpg,synchronized,16.807352112676,1481.000000,1472.960000,1480.700000,1468.360000
169,000169.jpg,synchronized,16.907366197183,1482.000000,1472.960000,1481.700000,1469.360000
170,000170.jpg,synchronized,17.007380281690,1483.000000,1474.960000,1482.700000,1469.360000
171,000171.jpg,synchronized,17.107394366197,1484.394366,1476.960000,1484.700000,1469.965634
172,000172.jpg,synchronized,17.207408450704,1487.000000,1476.960000,1484.700000,1470.360000
173,000173.jpg,synchronized,17.307422535211,1488.000000,1477.960000,1485.700000,1473.360000
174,000174.jpg,synchronized,17.407436619718,1489.000000,1479.960000,1487.700000,1474.360000
175,000175.jpg,synchronized,17.507450704225,1490.000000,1480.960000,1488.700000,1475.360000
176,000176.jpg,synchronized,17.607464788732,1492.000000,1481.960000,1489.700000,1477.360000
177,000177.jpg,synchronized,17.707478873239,1492.000000,1482.960000,1491.700000,1479.360000
178,000178.jpg,synchronized,17.807492957746,1494.000000,1483.960000,1492.700000,1480.360000
179,000179.jpg,synchronized,17.907507042254,1495.000000,1485.960000,1494.700000,1482.360000
180,000180.jpg,synchronized,18.007521126761,1497.000000,1487.960000,1495.700000,1483.360000
181,000181.jpg,synchronized,18.107535211268,1498.000000,1487.960000,1496.700000,1485.360000
182,000182.jpg,synchronized,18.207549295775,1499.549296,1489.960000,1497.700000,1485.261408
183,000183.jpg,synchronized,18.307563380282,1502.000000,1491.960000,1499.700000,1485.360000
184,000184.jpg,synchronized,18.407577464789,1503.000000,1492.960000,1500.700000,1487.360000
185,000185.jpg,synchronized,18.507591549296,1505.000000,1493.960000,1502.700000,1490.360000
