照片,时间/s,X向力/N,Y向力/N,DIC导出文件,DIC数据来源,合并文件,点数,DAT原始点数,排除无效点数,状态
000472.jpg,47.3252,0.000000,1425.300000,D:\2026.9.21_finally\_matchid_export\S22_Y_0.2\000472.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S22_Y_0.2\merged\000472_DIC全场—力.csv,6166,6168,2,READY
000480.jpg,48.1280,0.000000,1427.300000,D:\2026.9.21_finally\_matchid_export\S22_Y_0.2\000480.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S22_Y_0.2\merged\000480_DIC全场—力.csv,6166,6168,2,READY
000488.jpg,48.9308,0.000000,1429.300000,D:\2026.9.21_finally\_matchid_export\S22_Y_0.2\000488.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S22_Y_0.2\merged\000488_DIC全场—力.csv,6166,6168,2,READY
000496.jpg,49.7336,0.000000,1431.300000,D:\2026.9.21_finally\_matchid_export\S22_Y_0.2\000496.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S22_Y_0.2\merged\000496_DIC全场—力.csv,6166,6168,2,READY
000504.jpg,50.5365,0.000000,1433.300000,D:\2026.9.21_finally\_matchid_export\S22_Y_0.2\000504.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S22_Y_0.2\merged\000504_DIC全场—力.csv,6166,6168,2,READY
000512.jpg,51.3393,0.000000,1435.300000,D:\2026.9.21_finally\_matchid_export\S22_Y_0.2\000512.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S22_Y_0.2\merged\000512_DIC全场—力.csv,6166,6168,2,READY
000520.jpg,52.1421,0.000000,1437.800000,D:\2026.9.21_finally\_matchid_export\S22_Y_0.2\000520.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S22_Y_0.2\merged\000520_DIC全场—力.csv,6165,6167,2,READY
000528.jpg,52.9450,0.000000,1439.800000,D:\2026.9.21_finally\_matchid_export\S22_Y_0.2\000528.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S22_Y_0.2\merged\000528_DIC全场—力.csv,6166,6168,2,READY
000536.jpg,53.7478,0.000000,1442.300000,D:\2026.9.21_finally\_matchid_export\S22_Y_0.2\000536.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S22_Y_0.2\merged\000536_DIC全场—力.csv,6166,6168,2,READY
000544.jpg,54.5506,0.000000,1444.300000,D:\2026.9.21_finally\_matchid_export\S22_Y_0.2\000544.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S22_Y_0.2\merged\000544_DIC全场—力.csv,6166,6168,2,READY
